Circumstances,Target
cruising violent storm pilot lost control airplane crashed ground crew fate unknown,49
crew engaged training mission shortly takeoff climbing height foot aircraft dove ground three crew killed crew captain richard claude cain pilot corporal j gammie st aircraftsman h griffith,22
shortly takeoff bellefonte airport pa pilot encountered poor visibility due thick fog flying dick run valley located north airfield aircraft impacted hilly terrain pilot killed,34
pilot sole board completing local training flight college park airport flying low height vicinity airfield engine failed pilot attempted return emergency landing last turn aircraft stalled crashed pilot injured aircraft destroyed,68
final approach mayfield airplane impacted ground crashed short runway pilot injured aircraft destroyed,66
poor weather condition pilot coming cloud bearing aircraft crashed ground crew fate unknown,49
aircraft departed milantaliedo airport lt uneventful flight venicemarco polo airport landed lt spending day venice aircraft took around lt back trip milan cruising height foot vicinity verona airport airplane went control crashed field occupant killed considered worst air disaster time authority confirmed among passenger five italian journalist seven engineer italian aeroplane company caproni crew lt luigi ridolfi pilot lt marco resnati pilot believed total number person board source wrote later total death confirmed either eyewitness said something went wrong wing appeared flutter collapse several passenger jumped everyone board killed,16
crashed unknown circumstance,42
following uneventful flight hounslow heath single engine airplane approaching sandhurst airfield stalled crashed three passenger injured pilot killed crew cpt herbert richard hastings passenger maj h phillips mr e kohler mr j whittingdon,24
five engine seaplane prepared felixstowe long trip south africa next day last local test flight scheduled felixstowe seven crew member board shortly takeoff climbing speed kmh aircraft stalled crashed sea metre offshore six crew member rescued seventh killed aircraft supposed leave felixstowe august trip durban via gibraltar malta alexandria khartoum victoria nyanza lake tanganyika lake nyassa beira crew col fellowes office charge maj edwin roland moon pilot cpt c l scott pilot lt j f armitt chief engineer lt e mcleod wireless operator wo j g cockburn mechanic wo h locker mechanic,75
aircraft crashed unknown circumstance damaged beyond repair occupant injured,45
crashed unknown circumstance near laredo airport crew fate unknown,50
pilot sole board performing training flight border u mexico flight engine failed pilot forced attempte emergency landing near tijuana baja california mexico pilot uninjured aircraft damaged beyond repair,57
pilot force attempt emergency landig unknown reason aircraft crashed field near southpoer damaged beyond repair pilot injured,45
crashed near kelly afb unknown circumstance,42
aircraft crashed unknown circumstance damaged beyond repair pilot sole board rescued,48
crashed unknown circumstance casualty,52
liftoff manston airfield climbing low height aircraft caught strong crosswind lost height crashed three occupant injured crew cpt deighton passenger mr elliott mr eric davis,72
pilot sole board completing local training flight westonsupermare aircraft crashed approach destroyed pilot injured,68
airplane crashed unknown circumstance mile east irrigation district imperial valley following engine failure crew fate unknown,50
pilot departed hendon airfield mail flight en route encountered unexpected situation elected make emergency landing southwark park near rotherhithe pilot escaped uninjured aircraft damaged beyond repair,58
unknown circumstance aircraft collided another usaas de havilland dh registered near marfa tx crew fate unknown,50
unknown circumstance aircraft collided another usaas de havilland dh registered near marfa tx crew fate unknown,50
aircraft crashed landing coronadorockwell field crew fate unknown,49
aircraft crashed upon landing marfa airport crew fate unknown,49
aircraft crashed taking harry j jones military camp located near douglas az,71
final approach newcastle engine lost power aircraft stalled crashed km airport passenger injured pilot killed,28
crashed landing fort bliss afb,71
pilot sole board performing cargo flight guernsey flying channel foggy condition airplane crashed sea alderney island pilot killed,18
aircraft crashed upon landing bustleton afb near philadelphia pa crew fate unknown,49
en route pilot encountered poor visibility due foggy condition low aircraft hit tree top crashed wooded area located catonsville km north baltimore airport pilot lyman w doty killed,34
en route pilot encountered poor weather condition flying cloud airplane impact tree crashed crew fate unknown,49
aircraft crashed landing coronadorockwell field ca crew fate unknown,49
crashed landing pilot rescued,74
pilot majorgeneral edward james montagustuartwortley returning croydon following exhibition interlaken switzerland fuel stop parisle bourget continued base croydon overflying channel approaching british coast encountered foggy condition visibility low eventually aircraft crashed sea folkestone kent pilot rescued aircraft lost,74
aircraft crashed shortly takeoff following engine failure crew fate unknown,49
following pilot error aircraft impacted tree crashed bursting flame crew fate unknown,49
aircraft crashed landing fort sillhenry post field afb completing local training mission crew fate unknown,49
crashed landing,73
pilot completing mail flight college park belmont park new york overflying new jersey encountered poor weather condition reduced altitude maintain visual contact ground eventually decided make emergency landing long valley west newark aircraft impacted ground crashed field pilot j p charlton killed,16
flying irish sea taxi flight pilot encountered technical problem elected ditch aircraft southport three occupant quickly rescued fisherman aircraft lost,74
aircraft crashed unknown circumstance somewhere uk,46
crashed shortly takeoff coventry airport pilot injured,67
november australian government offered price dollar australian airman able fly england australia within day crew departed hounslow heath airport km southeast heathrow nov overflying island crete greece crew encountered engine problem elected make emergency landing open field located near suda east chania aircraft impacted ground came rest stonewall three occupant escaped uninjured aircraft damaged beyond repair abandoned,58
following unventful flight hounslow heath single engine airplane stalled approach sandhurst crashed occupant injured aircraft destroyed,66
november australian government offered price dollar australian airman able fly england australia within day crew departed hounslow heath airport km southeast heathrow dec approaching kerkyra greece aircraft crashed unknown circumstance sea killing pilot,47
aircraft departed parisle bourget morning bound hounslow heath near heathrow london approaching airport kenley south croydon aircraft went control crashed open field passenger killed pilot seriously injured two day later died injury passenger returning london following meeting french prime minister george clmenceau paris crew lt stanley blackall bradley pilot passenger george franklin rand president marine trust company buffalo new york,16
british aviator john william alcock departed brooklands weybridge day parisle bourget take part first airplane exhibition europe wwi overflying seinemaritime pilot lost control seaplane crashed cottvrard km north rouen pilot seriously injured skull fracture died hour later performed first nonstop transatlantic flight newfoundland ireland last jun arthur whitten brown aged,16
approaching hounslow heath airport aircraft crashed unknown circumstance twickenham pilot slightly injured aircraft damaged beyond repair,45
crash unknown circumstance somewhere uk pilot sole board injured,48
flying mountainous terrain engine failed pilot attempted make emergency landing aircraft impacted tree crashed wooded area crew fate unknown,49
en route crew encountered technical problem elected make emergency landing aircraft crashed kingswood suburb bristol occupant injured aircraft destroyed,73
aircraft crashed unknown circumstance swingate near dover performing mail flight paris london,42
pilot undershot field aircraft nosed,71
crew consisting pilot engineer german manufacturer junker performing test flight dessau airport flying vicinity airfield single engine aircraft went control crashed kleinkhnau north airfield four occupant killed among german aviator hermann hasselmann official construction number confirmed registration remains unknown,44
crew departed brooklands uk derna night feb hour flight crew encountered bad weather condition mediterranean sea able land without problem derna lybia refuel approaching wadi halfa airport night crew encountered technical problem radiator leak aircraft crashed short runway pilot injured aircraft named silver queen destroyed crew lt col pierre van ryneveld lt christopher joseph quintinbrand,69
crashed unknown circumstance somewhere wisconsin killing three occupant,47
crashed upon landing crew fate unknown,49
pilot encountered control problem elected make emergency landing acadia siding nine occupant escaped uninjured aircraft damaged beyond repair,58
crew completing one first transafrica flight uk south africa en route aswan khartoum cruising altitude foot airplane suffered oscillation vibration crew shut engine elected make emergency landing aircraft crashed desert area located km north shereik four crew evacuated safely aircraft damaged beyond repair,59
shortly takeoff racecourse located ampang road kuala lumpur pilotincommand lost control airplane crashed ground pilot killed second occupant injured crew cpt leonard james pugh lt henry frederick osborne farrell,20
crew performing flight uk south africa en route encountered several technical problem lt aircraft took tabora airport cooling system failed shortly later pilot returned tabora made appropriate repair aircraft took lt shortly later left engine failed aircraft stalled crashed acacia area near airport five occupant injured aircraft damaged beyond repair flight one first transafrican cross country flight london cape town sponsored london time,62
crashed fort sill reserve five km southwest airbase crew fate unknown,49
engine failed flight forcing pilot attempt emergency landing aircraft damaged beyond repair pilot uninjured,57
approach bulawayo matabeleland crew encountered problem aircraft crashed occupant engaged cross country flight cape town south africa injured aircraft named silver queen ii destroyed crew lt col pierre van ryneveld lt christopher joseph quintinbrand,71
pilot martin seidler sole board completing local flight porrentruy lost control airplane crashed field pilot escaped uninjured aircraft destroyed,68
pilot forced make emergency landing escaped uninjured aircraft damaged beyond repair,57
pilot sole board completing mail flight en route weather condition worsened visibility poor due fog pilot reduced altitude attempt maintain visual contact ground aircraft contacted tree crashed wooded area aircraft destroyed pilot c w stoner killed,34
thew pilot performing mail flight parisle bourget hounslow heath overflying channel encountered low visibility due fog compass failed sighted boat s selarus circled around attract attention eventually ditched aircraft beachy head coast near eastbourne quickly rescued crew boat aircraft lost,74
engine failed flight forcing pilot attempt emergency landing aircraft crashed open field came rest pilot rescued aircraft damaged beyond repair,57
pilot emil monz performing demonstration flight roosevelt field airport shortly take climbing height foot propeller disintegrated pilot attempted emergency landing aircraft crashed near runway pilot evacuated safely aircraft damaged beyond repair,59
crashed takeoff crew faite unknown,49
pilot sole board departed bellefonte pa mail flight heller field newark nj approach completing circuit land altitude feeet speed mph single engine airplane collided stack tiffany factory crashed bursting flame pilot harry conley sherlock aged killed,18
aircraft departed cricklewood flight biggin hill aerial photography mission behalf aerofilms ltd carrying one photographer one pilot en route pilot encountered technical problem elected make emergency landing southwark park aircraft crashed small lake damaged beyond repair occupant escape uninjured,58
twin engine aircraft departed khartoum flight cairo en route airplane suffered structural failure crashed near abu hamad km north khartoum bursting flame four occupant killed crew fo john barclay jaques fo desmond wilkie sibley sgt edmund west wadey ac reginald colin meldrum,3
airplane departed bustleton pa mail flight washington dc carrying one passenger one pilot cruising altitude foot engine caught fire pilot reduced altitude attempt emergency landing height foot passenger jumped aircraft fell ground aircraft crash landed damaged beyond repair pilot escaped unhurt passenger died injury hour later,9
shortly takeoff heller field climbing pilot lost control airplane entered dive crashed passenger killed pilot seriously injured reported passenger unauthorized flight,20
pilot completing mail flight france upon landing aircraft overturned came rest bursting flame pilot injured aircraft destroyed,30
crashed taking brooklands airfield pilot injured,68
crashed unknown circumstance pilot slightly injured,42
pilot made flat turn causing airplane fell spin crew fate unknown,49
minute takeoff bellefonte pilot encountered engine problem attempted emergency landing aircraft crashed hilly terrain located north bellefonte pilot injured aircraft destroyed,73
pilot forced attempt emergency landing following inflight fire,73
pilot sole board departed parisle bourget mail flight hounslow heath london cruising channel encountered thick fog airplane crashed sea unknown circumstance pilot killed,48
aircraft performing local flight three passenger one pilot board shortly takeoff climbing height metre aircraft caught strong wind rolled left hit ground three passenger seriously injured pilot killed completing first flight crew jacques jourdanet pilot passenger mr pepa restrepo de vsquez son,24
crew departed felixstowe training mission behalf th squadron shortly takeoff seaplane stalled crashed sea hundred metre offshore two crew member rescued four others killed crew sl edwin roland moon fo albert john fyfield sublt guiltherine j da fonseca ac gerald tipping bass flt charles oscar modin fo louis henry pakenhamwalsh,75
pilot performing training flight joyce green airport dartford kent brooklands airport weybridge surrey shortly take lost control aircraft crashed field pilot injured aircraft destroyed,68
en route engine failed forcing pilot attempt emergency landing landing pilot lost control airplane manoeuvering avoid telephone line airplane crashed destroyed pilot injured,73
en route omaha iowa city weather condition worsened thick fog pilot lost orientation attempted emergency landing aircraft crashed field pilot seriously injured passenger killed,26
aircraft stalled final approach crew fate unknown,49
crashed unknown circumstance pilot injured,42
aircraft crashed landing,73
aircraft crashed takeoff fort sillhenry post field afb,71
crew taking part air show romanshorn arrived morning geneva demo flight flying altitude metre aircraft went control lost height dive wing piece detached aircraft eventually crashed lake constance metre offshore quickly scene sar team found debris floating water dead body found later lake bottom swiss aviator pierre mile taddoli killed mechanic giovanelli engineer italian motorist isottafraschini,16
following pilot error aircraft collided wireless pole glenn l martin factory crashed crew fate unknown,49
aircraft crashed kelly afb following inflight collision another aircraft crew fate unknown,49
pilot wilhelm griebsch performing local test flight dessau airport single engine aircraft crashed unknown circumstance pilot sole board killed,48
pilot forced make emergency landing due lack fuel airplane damaged beyond repair pilot uninjured,57
takeoff cleveland airport climbing height foot engine failed aircraft stalled crashed bursting flame two occupant seriously injured mechanic n c montis killed,22
aircraft crashed shortly takeoff kelly afb san antonio tx,67
aircraft crashed landing crew fate unknown,49
pilot captain bayliss performing regular schedule flight parisle bourget croydon en route south maidstone kent encountered technical problem made emergency landing field located marden four passenger disembarked continued trip london train day airplane repaired took evening croydon time three passenger board farmer owner field pilot completed emergency landing wife friend cruising south dartford twilight pilot encountered engine trouble elected make another emergency landing reduced altitude elected land swanley junction upon landing cornfield aircraft crashed came rest upside pilot two passenger slightly injured another passenger mr madeline day seriously injured died one year later age kidney failure coroner concluded inquest directly attributable accident,26
aircraft crashed takeoff knoxmundorff afb near fresno,67
en route engine failed forcing pilot attempt emergency landing aircraft made bad landing damaged beyond repair pilot escaped unhurt,57
approach peterborough airport single engine aircraft suffered wing failure crashed field aircraft destroyed three occupant killed crew donald hastings sadler pilot passenger mr charles guest mr philip warwick rinquest,24
pm handley page geake departed last time kjeller despite strong wind climbed cruising altitude metre foot average speed day kmh donovan explained mr meisterlin first leg trip would fly karlstad stockholm crossed norwegianswedish border pm arvika pm cloud getting thicker pm flew karlstad metre looked hallvard nss norman thompson ntb flying boat n vein delayed pm cross landscape thousand tree possibility emergency landing dark fire coming exhaust pipe lighted sky pm flew large lake mlaren could enjoy beautiful view donovan said thumb stockholm pm large city sight instead going handley page continued eastern direction ended lovely archipelago north stockholm started fly around circle donovan said think lost decided find soon possible suitable landing site finally crew found field looked good enough flew low altitude house field finally land safely cornfield sergeant rogers thought field regular meadow turned cornfield aircraft suffered damage following day crew together captain meisterlin returned field sergeant rogers night landed aircraft looked undamaged therefore decided start day proceed stockholm original landing site hsgerstalund owner manor gathered local worker would help plough lane cornfield lane metre wide metre long pm runway ready crew passenger boarded plane thanking host hospitality rogers switched engine slowly aircraft started takeoff however soon clear lane wide enough two metre high corn touched wing making aircraft unstable sergeant rogers tried keep aircraft straight failed instead tried lift aircraft field corn twisted undercarriage aircraft crashed noose tipping nearly completely around thrown aircraft others trapped fuselage crash sergeant rogers shouted turn petrol order avoid fire lieutenant gottenborg managed get aircraft ran captain meisterlin donovan sergeant rogers order free donovan one worst injury burn face hand great pain managed get get captain meisterlin sergeant rogers wreckage help needed local worker sergeant rogers leg injury motor cycle accident norway worsened donovan taken stretcher ambulance driven hospital stan fortunately dr nicolaysen hurt could offer first aid mr meisterlin lieutenant gottenborg unhurt journalist qviller broken arm finally aircraft total wreck damaged beyond repair flight stockholm kbenhavn subsequently cancelled crew sergeant w rogers pilot mr donovan mechanic observer captain wilhelm meisterlin lieutenant brynjulf gottenborg passenger dr nicolaysen mr astrid meisterlin mr haakon qviller journalist norwegian newspaper aftenposten source rob mulder wwweuropeanairlinesno,71
following local training mission pilot returning kalijati airfield upon landing airplane crashed came rest upside pilot escaped uninjured aircraft damaged beyond repair,54
shortly takeoff twickenham climbing pilot encountered technical problem aircraft stalled crashed field occupant injured aircraft damaged beyond repair,62
single engine airplane completing local sortie carrying one passenger one pilot one mechanic making sharp turn low height pilot lost control airplane crashed near beach three occupant injured two seriously hour later pilot passenger died injury crew gordon l groah pilot gaston cornett mechanic passenger mr richard h long,24
crashed one km west landing afb unknown circumstance crew fate unknown,50
single engine airplane departed eastbourne taxi flight london carrying two passenger one pilot en route encountered engine problem elected make emergency landing aircraft crash landed open field located amies mill farm near horsham three occupant evacuated safely aircraft damaged beyond repair,58
crew completing local training flight raf kenley shorty takeoff climbing airplane entered uncontrolled descent crashed bursting flame crew member killed crew fo victor oliver reynolds ac percy braithwaite,19
crashed landing crew fate unknown,49
shortly takeoff scarborough airport airplane stalled crashed three occupant injured aircraft destroyed,67
taxi flight pilot encountered control problem attempted emergency landing aircraft crash landed field located eskn northeast gvle occupant escaped uninjured aircraft damaged beyond repair,58
approach scarborough airport following uneventful flight brough engine failed pilot made emergency landing field oliver mount south airport three occupant uninjured aircraft damaged beyond repair,59
pilot sole board departed bournemouthensbury park aerodrome lt local training flight hour later approaching airfield lost control airplane crashed field aircraft damaged beyond repair pilot robert osmond lindsay suffered broken leg,71
arew performing flight england sweden aircraft delivered local operator shortly takeoff dover kent aircraft went control crashed open field killing occupant aircraft owned british aviator lt col g l p henderson board died another accident jul meopham,16
aircraft suffered inflight engine failure forcing pilot attempt emergency landing open field casualty aircraft damaged beyond repair,57
pilot sole board completing local training flight camp borden airport airplane crashed takeoff pilot rescued,74
dh first prototype delivered att shortly takeoff croydon airport international schedule flight parisle bourget pilot encountered technical problem aircraft lost height crashed open field located wallington southwest croydon occupant slightly injured aircraft destroyed,67
aircraft departed coventry airport cargo flight carrying one passenger one pilot crashed unknown circumstance biddenham pilot killed passenger injured crew james gordon riley passenger henry hamblin,39
piot sole board completing local training flight college park aerodrome practicing landing third takeoff right lower wing impacted wireless tower aircraft entered dive crashed bursting flame pilot robert gautier killed,18
crashed unknown circumstance pilot injured aircraft damaged beyond repair,45
aircraft crashed km kelly afb crew fate unknown,49
crew performing cargo flight parisle bourget overflying kent cruising west dartford crew encountered problem aircraft crashed eltham northeast croydon crew member injured aircraft destroyed,73
aircraft crashed unknown circumstance killing occupant,47
approach fort france aircraft stalled crashed occupant injured,66
crashed unknown circumstance injuring crew member umberto maddalena nanneti,41
pilot oscar bereta completing demonstration flight lake zurich unknown circumstance lost control seaplane crashed lake zrichhorn aircraft destroyed pilot killed,39
crew performing mail flight hazlehurst cleveland en route aircraft caught fire went control crashed near morristown crew member pilot max miller mechanic gustav heierson killed,13
shortly takeoff cleveland airport climbing engine failed pilot elected return emergency landing airplane stalled crashed onto house bursting flame pilot killed,20
aircraft way lake maggiore finland delivery flight crew two board departed lake maggiore early morning overflew alp vertical zurich aircraft entered uncontrolled descent crashed lake zurich zollikon occupant killed debris found shore crew carl erik leijer pilot carlo riva mechanic italian manufacturer savoia,15
aircraft way lake maggiore finland delivery flight crew two board departed lake maggiore early morning overflying alp aircraft went control crashed gliems glacier region toedi glarus crew killed body transferred zurich cremated four day later crew maj vln w mikkola pilot lt ly r l durchman,13
hit tree top crashed brooklin north oshawa ontario crew fate unknown,49
crashed unknown circumstance somewhere france three occupant slightly injured aircraft destroyed,46
engine caught fire flight forcing pilot attempt emergency landing reduced altitude aircraft went control crashed field bursting flame occupant pilot w h stevens mechanic h l thomas killed,16
following uneventful flight mineola long island airplane approaching northfield impacted tree crashed wooded area pilot killed passenger injured crew nd lt h spencer passenger mr herbert mcmillian,24
aircraft crashed takeoff crew fate unknown,49
en route alert bay prince rupert pilot lt harry w brown encountered unexpected situation forced ditch aircraft nalau island survived paddling log shipping lane picked passing alaskan steamer aircraft lost,74
crashed unknown circumstance aircraft destroyed pilot injured,42
en route pilote encountered technical problem elected make emergency landing aircraft crash landed tungenes northwest stavanger pilot escaped minor injury aircraft damaged beyond repair,58
aircraft departed northolt local joyride carrying five passenger one pilot shortly takeoff aircraft went control crashed field located southeast airport passenger seriously injured five occupant killed survivor died injury two day later crew lt frederick benjamin goodwin castleman passenger ellen rowland george rowland imelda mary trafford gladys sybil wilkinson mary e wilkinson,72
en route hazlehurst bellefonte pilot encountered poor visibility due foggy condition reduced altitude maintain visual contact ground aircraft collided power cable crashed susquehanna river millersburg aircraft destroyed pilot f robinson killed,34
crew performing mail flight toulouse barcelona aircraft crashed unknown circumstance km north cape bar near portvendres crew jean rodier pilot mariefranois martymah mechanic,41
mail flight france spain crew lost control airplane crashed ontinyent bursting flame crew killed crew charles genthon pilot lo bnas mechanic,13
en route checkerboard field chicago omaha pilot encountered poor visibility due foggy condition flying low height airplane collided telephone wire crashed bursting flame pilot bryan mcmullen killed,34
en route stockholm kristiania engine caught fire crew made emergency landing open field located rebro extinguished fire shortly takeoff aircraft went control crashed upside occupant major tryggve gran captain larry carter uninjured aircraft destroyed,70
cruising poor visibility due fog aircraft hit mountain near tie siding wyoming pilot j p woodward killed,38
crashed upon landing parisle bourget airport injury,72
pilot performing sightseeing flight around new plymouth approaching land aircraft stalled crashed near aerodrome three occupant killed crew captain richard russell pilot passenger james clarke mayor new plymouth kathleen warnock,16
crashed landing unknown circumstance crew fate unknown,50
crashed landing fort sillhenry post field afb,71
aircraft crashed near kelly afb san antonio tx,71
pilot sole board completing training flight seaplane crashed bay guanabara rio de janeiro pilot nd lt jayme americano freire killed,18
crashed near fort sillhenry post field afb,71
shortly takeoff cricklewood airport misty weather aircraft seen flying low crashed tree falling back garden house golders green basing hill close airfield four passenger jumped thrown clear aircraft burst flame crew member two remaining passenger killed fire survivor two unhurt two slightly injured local rushed help due intense heat rescue effort futile hendon fire brigade extinguished fire removed body aircraft destroyed newly built house badly damaged crew maj r w bager pilot j h williams mechanic,70
shortly takeoff hounslow heath aerodrome aircraft stalled crashed three occupant injured aircraft destroyed,67
shortly takeoff barcelona engine failed airplane stalled crashed pilot jean sagnot killed,22
pilot sole board departed daytonmccook field training flight en route engine failed forcing pilot attempt emergency landing aircraft crashed opend field located mile north rochester bursting flame pilot injured,18
crashed following engine failure crew fate unknown,49
crashed takeoff pilot survived,67
seaplane caught fire inflight crashed mississippi river tiptonville occupant killed,13
en route marina sacramento flying altitude san francisco foggy condition engine failed pilot elected make emergency landing reduced altitude airplane collided trolley wire crashed gough street bursting flame pilot escaped uninjured aircraft destroyed post crash fire,25
crashed takeoff fort sillhenry post field afb,71
engine failed flight forcing pilot attempt emergency landing aircraft crash landed destroyed occupant injured,73
pilot performing mail flight behalf daily newspaper dagposten en route engine failed aircraft lost height crashing garden private house pilot slightly injured aircraft destroyed,68
pilot prosper george performing cargo flight croydon brussels behalf sneta syndicat national pour ltude du transport arien aircraft departed croydon airport lt continued towards east approaching channel visibility dropped due mist pilot decided return last turn aircraft hit hill near pub called valiant sailor crashed pilot seriously injured died injury three day later,24
takeoff minneapoliswold chamberlain field climbing altitude foot left engine failed pilot made sharp turn airplane side slipped went nose dive crashed mendota km east airfield one occupant killed second injured accident occurred minute takeoff,20
crew completing local training flight kalijati airport passing airfield insufficient altitude airplane impacted roof hangar crashed occupant seriously injured pilo died injury hour later,19
landing made lone rock repair anemometer gear pump shortly taking lone rock back firing occurred second landing made additionnal work done pump getting air failed work circling field la crosse aircraft apparently lost control made nose dive three crew member killed crew william carroll pilot hiram h rowe pilot robert b hill mechanic,13
